year,country_code,Population,gdp_per_capita_2017ppp,gdp_per_capita_current_ppp,gdp_per_capita_current_usd,,,,,
2006,ABW,100834,39043,35167,24045,,,,,
2007,ABW,101222,39593,36621,25835,,,,,
2008,ABW,101358,39504,37249,27085,,,,,
2009,ABW,101455,35315,33553,24630,,,,,
2010,ABW,101669,33942,32624,23513,,,,,
2011,ABW,102046,34982,34326,24986,,,,,
2012,ABW,102560,34330,33569,24714,,,,,
2013,ABW,103159,35563,36478,26189,,,,,
2014,ABW,103774,35459,36444,26648,,,,,
2015,ABW,104341,37276,36765,27981,,,,,
2016,ABW,104872,37866,37359,28281,,,,,
2017,ABW,105366,38442,38442,29008,,,,,
2018,ABW,105845,,,,,,,,
2019,ABW,106314,,,,,,,,
2006,AFG,26433049,1316,1078,264,,,,,
2007,AFG,27100536,1461,1229,360,,,,,
2008,AFG,27722276,1484,1273,365,,,,,
2009,AFG,28394813,1759,1520,438,,,,,
2010,AFG,29185507,1957,1711,543,,,,,
2011,AFG,30117413,1905,1699,591,,,,,
2012,AFG,31161376,2075,1915,642,,,,,
2013,AFG,32269589,2116,2016,637,,,,,
2014,AFG,33370794,2102,2069,614,,,,,
2015,AFG,34413603,2068,2087,578,,,,,
2016,AFG,35383128,2057,1981,509,,,,,
2017,AFG,36296400,2058,2058,520,,,,,
2018,AFG,37172386,2034,2083,494,,,,,
2019,AFG,38041754,2065,2156,507,,,,,
2006,AGO,20149901,6681,5362,2600,,,,,
2007,AGO,20905363,7342,6051,3122,,,,,
2008,AGO,21695634,7864,6607,4081,,,,,
2009,AGO,22514281,7643,6471,3123,,,,,
2010,AGO,23356246,7692,6588,3588,,,,,
2011,AGO,24220661,7675,6711,4615,,,,,
2012,AGO,25107931,8037,7413,5100,,,,,
2013,AGO,26015780,8141,7682,5255,,,,,
2014,AGO,26941779,8240,8179,5408,,,,,
2015,AGO,27884381,8036,7338,4167,,,,,
2016,AGO,28842484,7569,7103,3506,,,,,
2017,AGO,29816748,7311,7311,4096,,,,,
2018,AGO,30809762,6934,7102,3290,,,,,
2019,AGO,31825295,6670,6966,2791,,,,,
2006,ALB,2992547,8597,6558,2973,,,,,
2007,ALB,2970017,9180,7275,3595,,,,,
2008,ALB,2947314,9944,8228,4371,,,,,
2009,ALB,2927519,10347,8820,4114,,,,,
2010,ALB,2913021,10784,9636,4094,,,,,
2011,ALB,2905195,11088,10208,4437,,,,,
2012,ALB,2900401,11264,10526,4248,,,,,
2013,ALB,2895092,11398,10571,4413,,,,,
2014,ALB,2889104,11624,11259,4579,,,,,
2015,ALB,2880703,11916,11659,3953,,,,,
2016,ALB,2876101,12331,12079,4124,,,,,
2017,ALB,2873457,12812,12812,4531,,,,,
2018,ALB,2866376,13366,13974,5284,,,,,
2019,ALB,2854191,13724,14648,5353,,,,,
2006,AND,80993,,,42676,,,,,
2007,AND,82684,,,47804,,,,,
2008,AND,83862,,,48718,,,,,
2009,AND,84463,,,43503,,,,,
2010,AND,84449,,,40853,,,,,
2011,AND,83747,,,43335,,,,,
2012,AND,82427,,,38686,,,,,
2013,AND,80774,,,39539,,,,,
2014,AND,79213,,,41304,,,,,
2015,AND,78011,,,35763,,,,,
2016,AND,77297,,,37475,,,,,
2017,AND,77001,,,38963,,,,,
2018,AND,77006,,,41793,,,,,
2019,AND,77142,,,40886,,,,,
2006,ARE,5300174,86426,95678,41907,,,,,
2007,ARE,6168838,76620,87102,41810,,,,,
2008,ARE,7089487,68798,79731,44499,,,,,
2009,ARE,7917372,58375,68166,32024,,,,,
2010,ARE,8549988,54922,64882,33893,,,,,
2011,ARE,8946777,56123,67686,39195,,,,,
2012,ARE,9141596,57391,69102,40976,,,,,
2013,ARE,9197910,59922,70374,42413,,,,,
2014,ARE,9214175,62379,73619,43752,,,,,
2015,ARE,9262900,65219,64902,38663,,,,,
2016,ARE,9360980,66511,63969,38142,,,,,
2017,ARE,9487203,67184,67184,40645,,,,,
2018,ARE,9630959,66968,68600,43839,,,,,
2019,ARE,9770529,67119,70089,43103,,,,,
2006,ARG,39289878,20778,14952,5919,,,,,
2007,ARG,39684295,22424,16570,7245,,,,,
2008,ARG,40080160,23103,17404,9021,,,,,
2009,ARG,40482788,21520,16335,8225,,,,,
2010,ARG,40788453,23521,18062,10386,,,,,
2011,ARG,41261490,24648,19322,12849,,,,,
2012,ARG,41733271,24119,19641,13083,,,,,
2013,ARG,42202935,24424,20132,13080,,,,,
2014,ARG,42669500,23550,19684,12335,,,,,
2015,ARG,43131966,23934,20105,13789,,,,,
2016,ARG,43590368,23190,20308,12790,,,,,
2017,ARG,44044811,23597,23597,14613,,,,,
2018,ARG,44494502,22759,23314,11633,,,,,
2019,ARG,44938712,22064,23040,9912,,,,,
2006,ARM,2958307,8464,6412,2158,,,,,
2007,ARM,2932618,9708,7552,3139,,,,,
2008,ARM,2907618,10468,8300,4011,,,,,
2009,ARM,2888092,9052,7233,2994,,,,,
2010,ARM,2877319,9286,7506,3218,,,,,
2011,ARM,2876538,9725,8025,3526,,,,,
2012,ARM,2884229,10398,9364,3682,,,,,
2013,ARM,2897584,10691,9836,3838,,,,,
2014,ARM,2912403,11020,10037,3986,,,,,
2015,ARM,2925553,11321,9970,3607,,,,,
2016,ARM,2936146,11303,10704,3592,,,,,
2017,ARM,2944809,12115,12115,3915,,,,,
2018,ARM,2951776,12715,13025,4220,,,,,
2019,ARM,2957731,13654,14258,4623,,,,,
2006,ASM,59107,,,8392,,,,,
2007,ASM,58365,,,8909,,,,,
2008,ASM,57492,,,9793,,,,,
2009,ASM,56683,,,11961,,,,,
2010,ASM,56079,,,10271,,,,,
2011,ASM,55759,,,10294,,,,,
2012,ASM,55667,,,11569,,,,,
2013,ASM,55713,,,11505,,,,,
2014,ASM,55791,,,11507,,,,,
2015,ASM,55812,,,11843,,,,,
2016,ASM,55741,,,11697,,,,,
2017,ASM,55620,,,10823,,,,,
2018,ASM,55465,,,11467,,,,,
2019,ASM,55312,,,,,,,,
2006,ATG,82704,21852,23183,13998,,,,,
2007,ATG,84026,23511,25614,15623,,,,,
2008,ATG,85397,23131,25690,16044,,,,,
2009,ATG,86746,20047,22435,14160,,,,,
2010,ATG,88028,18206,20612,13049,,,,,
2011,ATG,89253,17604,20347,12746,,,,,
2012,ATG,90409,17966,19598,13272,,,,,
2013,ATG,91516,17642,18796,12910,,,,,
2014,ATG,92562,18104,19039,13502,,,,,
2015,ATG,93566,18595,18912,14286,,,,,
2016,ATG,94527,19418,19919,15198,,,,,
2017,ATG,95426,19840,19840,15383,,,,,
2018,ATG,96286,21116,21630,16673,,,,,
2019,ATG,97118,21910,22880,17113,,,,,
2006,AUS,20697900,42894,34289,36045,,,,,
2007,AUS,20827600,44266,36545,40960,,,,,
2008,AUS,21249200,44975,37459,49602,,,,,
2009,AUS,21691700,44910,40301,42772,,,,,
2010,AUS,22031750,45131,39301,52022,,,,,
2011,AUS,22340024,45605,41965,62518,,,,,
2012,AUS,22733465,46571,42827,68012,,,,,
2013,AUS,23128129,46960,45902,68150,,,,,
2014,AUS,23475686,47437,46880,62511,,,,,
2015,AUS,23815995,47784,46288,56756,,,,,
2016,AUS,24190907,48347,47340,49971,,,,,
2017,AUS,24601860,48633,48633,54028,,,,,
2018,AUS,24982688,49304,51391,57355,,,,,
2019,AUS,25364307,49612,53381,55060,,,,,
2006,AUT,8268641,50930,37612,40635,,,,,
2007,AUT,8295487,52657,39383,46856,,,,,
2008,AUT,8321496,53259,41316,51709,,,,,
2009,AUT,8343323,51120,40948,47963,,,,,
2010,AUT,8363404,51934,42041,46858,,,,,
2011,AUT,8391643,53273,44453,51375,,,,,
2012,AUT,8429991,53391,46457,48568,,,,,
2013,AUT,8479823,53091,47922,50717,,,,,
2014,AUT,8546356,53026,48800,51717,,,,,
2015,AUT,8642699,52967,49866,44178,,,,,
2016,AUT,8736668,53439,52684,45277,,,,,
2017,AUT,8797566,54343,54343,47427,,,,,
2018,AUT,8840521,55474,58851,51478,,,,,
2019,AUT,8877067,56030,60418,50138,,,,,
2006,AZE,8484550,9605,9387,2473,,,,,
2007,AZE,8581300,11915,11957,3851,,,,,
2008,AZE,8763400,12903,13201,5575,,,,,
2009,AZE,8947243,13822,14249,4950,,,,,
2010,AZE,9054332,14313,14927,5843,,,,,
2011,AZE,9173082,13905,14805,7190,,,,,
2012,AZE,9295784,14024,15958,7496,,,,,
2013,AZE,9416801,14653,17189,7876,,,,,
2014,AZE,9535079,14876,17444,7891,,,,,
2015,AZE,9649341,14854,14938,5500,,,,,
