year,country_code,metric_code,mean,sd,lobound_10,upbound_90
2017,AGO,disap,6.0382442,1.0052532,4.7515202,7.3249683
2018,AGO,disap,6.8631473,.53521699,6.1780696,7.5482249
2019,AGO,disap,5.9450202,.67827898,5.0768232,6.8132172
2020,AGO,disap,4.9741755,.87274182,3.8570659,6.0912848
2021,AGO,disap,4.6844583,1.157779,3.2025011,6.1664152
2019,ASM,disap,7.7003613,.58946949,6.9458404,8.4548826
2017,AUS,disap,8.2231388,.22699197,7.9325891,8.5136881
2018,AUS,disap,8.3167744,.19093658,8.0723753,8.5611734
2019,AUS,disap,8.5397367,.26821917,8.1964159,8.8830576
2020,AUS,disap,8.957592,.21342352,8.6844101,9.2307739
2021,AUS,disap,9.0766611,.31308314,8.6759148,9.4774075
2017,BRA,disap,5.1231546,.49280044,4.4923701,5.7539392
2018,BRA,disap,4.9582992,.32294047,4.5449352,5.3716631
2019,BRA,disap,4.7161021,.41607034,4.1835322,5.248672
2020,BRA,disap,4.7790384,.4792673,4.1655765,5.3925004
2021,BRA,disap,4.7611475,.61422431,3.9749403,5.5473547
2020,CHN,disap,3.5196581,.19741574,3.2669659,3.7723503
2021,CHN,disap,3.4801018,.18921842,3.2379022,3.7223015
2018,COD,disap,4.3013129,.59086442,3.5450065,5.0576196
2019,COD,disap,5.5059013,.53200907,4.8249297,6.186873
2020,COD,disap,5.6437345,.36855465,5.1719847,6.1154842
2021,COD,disap,5.5661182,.54587764,4.8673949,6.2648416
2018,COK,disap,8.3488359,.59137172,7.5918803,9.105792
2019,COK,disap,8.7303734,.37433895,8.2512197,9.209527
2020,COK,disap,8.706605,.24525924,8.3926735,9.0205364
2021,COK,disap,8.6301384,.32482898,8.2143574,9.0459194
2017,FJI,disap,8.1668406,.33092365,7.7432585,8.5904226
2018,FJI,disap,8.4406233,.25433317,8.115077,8.7661695
2019,FJI,disap,8.7070284,.33207396,8.2819738,9.1320829
2020,FJI,disap,7.9366765,.21981834,7.6553092,8.2180443
2021,FJI,disap,7.7341743,.2659072,7.3938131,8.0745354
2019,FSM,disap,9.6526251,1.4890177,7.7466822,11.558568
2020,FSM,disap,9.5236616,1.0537521,8.174859,10.872464
2017,GBR,disap,7.8661799,.25265619,7.5427799,8.18958
2018,GBR,disap,8.0155859,.21470259,7.7407665,8.2904053
2019,GBR,disap,8.6308479,.35690933,8.1740036,9.0876923
2020,GBR,disap,8.6923094,.2567324,8.3636923,9.0209265
2021,GBR,disap,8.6619806,.25491104,8.3356943,8.9882669
2018,GUM,disap,9.2460327,.60310853,8.4740534,10.018012
2019,GUM,disap,8.9593954,.50131297,8.3177147,9.6010761
2020,GUM,disap,7.6971931,.49608332,7.0622063,8.33218
2019,HKG,disap,7.6609836,.54606974,6.9620142,8.3599529
2020,HKG,disap,7.3209586,.33083439,6.8974905,7.7444267
2021,HKG,disap,7.199964,.4167136,6.6665707,7.7333574
2020,IND,disap,5.7670336,.54167634,5.073688,6.4603791
2021,IND,disap,5.737123,.5009644,5.0958886,6.3783574
2017,JOR,disap,7.5138631,.63489389,6.7011991,8.3265276
2018,JOR,disap,7.3614783,.42403224,6.818717,7.9042397
2019,JOR,disap,6.4204407,.58115005,5.6765685,7.1643128
2020,JOR,disap,6.9974613,.63557559,6.1839247,7.810998
