country_code,metric_code,group,year,value,immediate_duty,immediate_duty_penalty,score_wrt_immediate_duty,global_best_penalty,score_wrt_global_best,immediate_duty_wrt_global_best,source_code
ABW,AdultSurvival,All,2007,89.5775528,95.40087341,4.630213308,87.21397523,5.02998991,86.04994453,99.16787974, 
ABW,AdultSurvival,All,2008,89.71305084,95.39952378,4.515976984,87.51972208,4.917832624,86.35029355,99.16600525, 
ABW,AdultSurvival,All,2009,89.84850311,95.32833293,3.749607975,88.56784907,4.14016166,87.31609266,99.06712906, 
ABW,AdultSurvival,All,2010,89.98400116,95.30117073,3.440881046,89.10178057,3.827238718,87.81720734,99.02940379, 
ABW,AdultSurvival,All,2011,90.11955261,95.32189225,3.522673412,89.18315719,3.916050071,87.91666189,99.05818368, 
ABW,AdultSurvival,All,2012,90.25499725,95.30900446,3.33544622,89.57707971,3.72789906,88.29293046,99.04028397, 
ABW,AdultSurvival,All,2013,90.3891983,95.3329658,3.437515353,89.63193376,3.837695408,88.36952446,99.07356361, 
ABW,AdultSurvival,All,2014,90.52335358,95.33102218,3.334318166,89.92574112,3.736200873,88.65734576,99.07086414, 
ABW,AdultSurvival,All,2015,90.657547,95.36366404,3.502985123,89.90245853,3.914147102,88.66577928,99.11620005, 
ABW,AdultSurvival,All,2016,90.79174805,95.37361027,3.488815323,90.091638,3.904218552,88.86209818,99.13001427, 
ABW,AdultSurvival,All,2017,90.9259491,95.38298776,3.467687085,90.28847415,3.887184001,89.06552308,99.14303855, 
ABW,AdultSurvival,Female,2007,92.00779724,96.45080063,3.745255496,90.12230242,4.150608021,89.01075806,99.2476721, 
ABW,AdultSurvival,Female,2008,92.11450195,96.44956347,3.648804668,90.36763752,4.055726004,89.25181092,99.24597735, 
ABW,AdultSurvival,Female,2009,92.22109985,96.38430518,3.032504797,91.21596479,3.428901149,90.02466029,99.15658244, 
ABW,AdultSurvival,Female,2010,92.32779694,96.3594065,2.782118562,91.646236,3.174419711,90.42530212,99.12247466, 
ABW,AdultSurvival,Female,2011,92.43450165,96.37840123,2.84222209,91.70877722,3.240596058,90.50529661,99.14849484, 
ABW,AdultSurvival,Female,2012,92.54109955,96.36658742,2.688709178,92.02502819,3.085964248,90.80595294,99.13231153, 
ABW,AdultSurvival,Female,2013,92.64389801,96.38855198,2.766822948,92.0601851,3.170720664,90.86201634,99.16239998, 
ABW,AdultSurvival,Female,2014,92.74659729,96.38677033,2.682107285,92.28911049,3.087210626,91.08621032,99.15995936, 
ABW,AdultSurvival,Female,2015,92.84940338,96.41669203,2.813300554,92.26064089,3.226383813,91.08786739,99.20094799, 
ABW,AdultSurvival,Female,2016,92.95210266,96.42580942,2.799435971,92.4043363,3.215968571,91.23896658,99.21343756, 
ABW,AdultSurvival,Female,2017,93.05490112,96.43440544,2.780029887,92.55436363,3.19986974,91.39588522,99.22521293, 
ABW,AdultSurvival,Male,2007,87.14730072,93.3509462,4.785923165,86.26878363,5.199053798,85.0113758,99.07278028, 
ABW,AdultSurvival,Male,2008,87.31159973,93.3494841,4.653845029,86.63969602,5.069684837,85.37545764,99.07069157, 
ABW,AdultSurvival,Male,2009,87.47589874,93.27236067,3.830238657,87.8021211,4.232930165,86.44692518,98.96051524, 
ABW,AdultSurvival,Male,2010,87.64019775,93.24293496,3.494479729,88.41409952,3.892506544,87.02206168,98.91847851, 
ABW,AdultSurvival,Male,2011,87.80459595,93.26538327,3.571554389,88.54458347,3.97804929,87.17137349,98.95054753, 
ABW,AdultSurvival,Male,2012,87.96890259,93.2514215,3.364832865,89.00713757,3.770484664,87.61366189,98.93060214, 
ABW,AdultSurvival,Male,2013,88.1344986,93.27737962,3.459801651,89.11659046,3.87484172,87.74587056,98.96768516, 
ABW,AdultSurvival,Male,2014,88.30010223,93.27527403,3.339170132,89.47908737,3.756505987,88.10078292,98.96467718, 
ABW,AdultSurvival,Male,2015,88.46569824,93.31063604,3.500516043,89.50930457,3.929178941,88.16467569,99.01519434, 
ABW,AdultSurvival,Male,2016,88.63140106,93.32141113,3.470427489,89.76397153,3.904452151,88.42612079,99.03058733, 
ABW,AdultSurvival,Male,2017,88.79699707,93.33157007,3.432286374,90.02729778,3.871513003,88.69562567,99.0451001, 
