metric_code,natural_minimum,global_best_all,global_best_female,global_best_male,standard,source_codes,retrieval_dates
NetSecEnrol,0,100,100,100,Both,UNESCO,20220211
NetPrimEnrol,0,100,100,100,Core,UNESCO,20220211
PISAscience,0,83,83,83,HiY,OECD_ed,20220211
PISAmath,0,86,86,86,HiY,OECD_ed,20220211
PISAreading,0,81,81,81,HiY,OECD_ed,20220211
NotStunted,26,97.7,97.7,97.7,Core,JME,20220211
FoodSecure,"""11,9""",100,99,99,HiY,FAOSTAT,20220117
AdultSurvival,24,96,97,94,Both,UNPD_MPI,20220211
U5Survival,66.9,100,100,100,Both,UN_IGME,20220211
Contraception,0,85,85,85,Core,UNPD,20220211
NotLowBirWt,63.8,97,97,97,HiY,"""OECD,WB_WDI""","""20220112,20220210"""
WaterInHome,0,100,100,100,Core,WHO_UNICEF_JMP,20220110
BasicSanitation,0,100,100,100,Core,WHO_UNICEF_JMP,20220211
SafeSanitation,0,100,100,100,HiY,WHO_UNICEF_JMP,20220211
AffordHouse,5,100,100,100,HiY,EuroStats,20220129
NotRelPoor,70.6,98,98,98,HiY,"""LIS,OECD""","""20220112,20220110"""
NotAbsPoor,0,100,100,100,Core,WB_POVCAL,20220211
NotLTUnemploy,15,100,100,100,HiY,OECD_unempl,20220112
