country_code,year,metric_code,group,standard,score_wrt_immediate_duty,score_wrt_global_best,average_immediate_duty_wrt_global_best
AGO,2007,Work,All,Core,45.3198613064128,40.3,88.9234848437135
AGO,2008,Work,All,Core,40.4499393920434,39.4,97.4043486644878
AGO,2009,Work,All,Core,40.4499393920434,39.4,97.4043486644878
AGO,2010,Work,All,Core,40.4499393920434,39.4,97.4043486644878
AGO,2011,Work,All,Core,40.4499393920434,39.4,97.4043486644878
AGO,2012,Work,All,Core,40.4499393920434,39.4,97.4043486644878
AGO,2013,Work,All,Core,40.4499393920434,39.4,97.4043486644878
AGO,2014,Work,All,Core,40.4499393920434,39.4,97.4043486644878
AGO,2015,Work,All,Core,40.4499393920434,39.4,97.4043486644878
AGO,2016,Work,All,Core,40.4499393920434,39.4,97.4043486644878
AGO,2017,Work,All,Core,40.4499393920434,39.4,97.4043486644878
AGO,2018,Work,All,Core,28.0174292340516,26.8,95.6547432532746
ALB,2007,Work,All,Core,93.2069791046708,91.3,97.9540382887753
ALB,2008,Work,All,Core,94.6143524668419,94.6143524668419,100
ALB,2009,Work,All,Core,94.6143524668419,94.6143524668419,100
ALB,2010,Work,All,Core,94.6143524668419,94.6143524668419,100
ALB,2011,Work,All,Core,94.6143524668419,94.6143524668419,100
ALB,2012,Work,All,Core,93.3091755072793,93.3091755072793,100
ALB,2013,Work,All,Core,93.3091755072793,93.3091755072793,100
ALB,2014,Work,All,Core,87.3261752634947,87.3261752634947,100
ALB,2015,Work,All,Core,90.9177696402308,90.9177696402308,100
ALB,2016,Work,All,Core,89.4264946897907,89.4264946897907,100
ALB,2017,Work,All,Core,90.5990093731688,90.5990093731688,100
ALB,2018,Work,All,Core,90.5990093731688,90.5990093731688,100
ARE,2014,Work,All,Core,100,100,100
ARE,2015,Work,All,Core,100,100,100
ARE,2016,Work,All,Core,100,100,100
ARE,2017,Work,All,Core,100,100,100
ARE,2018,Work,All,Core,100,100,100
ARG,2007,Work,All,Core,88.1450036965489,88.1450036965489,100
ARG,2008,Work,All,Core,88.124877787365,88.124877787365,100
ARG,2009,Work,All,Core,89.7996614454046,89.7996614454046,100
ARG,2010,Work,All,Core,90.1072099563536,90.1072099563536,100
ARG,2011,Work,All,Core,94.8150530366143,94.8150530366143,100
ARG,2012,Work,All,Core,94.5617316110019,94.5617316110019,100
ARG,2013,Work,All,Core,94.99294159448,94.99294159448,100
ARG,2014,Work,All,Core,94.6244706275161,94.6244706275161,100
ARG,2015,Work,All,Core,94.6244706275161,94.6244706275161,100
ARG,2016,Work,All,Core,94.815671991491,94.815671991491,100
ARG,2017,Work,All,Core,95.2288257564174,95.2288257564174,100
ARG,2018,Work,All,Core,94.1151226887751,94.1151226887751,100
ARM,2007,Work,All,Core,86.2782351786372,86.2,99.9093222311801
ARM,2008,Work,All,Core,90.3997365116212,90.3997365116212,100
ARM,2009,Work,All,Core,86.854438661698,86.1,99.1313758130007
ARM,2010,Work,All,Core,86.400403264158,85.9,99.4208322585855
ARM,2011,Work,All,Core,86.9626299485338,86.9,99.927980618145
ARM,2012,Work,All,Core,88.3760190086525,88.3760190086525,100
ARM,2013,Work,All,Core,88.1191004544643,88.1191004544643,100
