country_code,year,metric_code,group,standard,score_wrt_immediate_duty,score_wrt_global_best,average_immediate_duty_wrt_global_best,,,
ABW,2007,Education,All,Core,85.1445,85.1445,100.0000,,,
ABW,2007,Housing,All,Core,91.6764,91.6764,100.0000,,,
ABW,2007,Education,Female,Core,81.2219,81.2219,100.0000,,,
ABW,2007,Education,Male,Core,84.7776,84.7776,100.0000,,,
ABW,2008,Education,All,Core,81.9280,81.9280,100.0000,,,
ABW,2008,Housing,All,Core,91.8345,91.8345,100.0000,,,
ABW,2008,Education,Female,Core,78.8298,78.8298,100.0000,,,
ABW,2008,Education,Male,Core,79.9394,79.9394,100.0000,,,
ABW,2009,Education,All,Core,78.4649,78.4649,100.0000,,,
ABW,2009,Housing,All,Core,92.4033,92.4033,100.0000,,,
ABW,2009,Education,Female,Core,83.8245,83.8245,100.0000,,,
ABW,2009,Education,Male,Core,73.4663,73.4663,100.0000,,,
ABW,2010,Education,All,Core,84.3997,84.3997,100.0000,,,
ABW,2010,Housing,All,Core,92.6871,92.6871,100.0000,,,
ABW,2010,Education,Female,Core,83.8245,83.8245,100.0000,,,
ABW,2010,Education,Male,Core,73.4663,73.4663,100.0000,,,
ABW,2011,Education,All,Core,84.0027,84.0027,100.0000,,,
ABW,2011,Housing,All,Core,92.7235,92.7235,100.0000,,,
ABW,2011,Education,Female,Core,83.7024,83.7024,100.0000,,,
ABW,2011,Education,Male,Core,72.8297,72.8297,100.0000,,,
ABW,2012,Education,All,Core,84.0027,84.0027,100.0000,,,
ABW,2012,Housing,All,Core,92.9314,92.9314,100.0000,,,
ABW,2012,Education,Female,Core,83.7024,83.7024,100.0000,,,
ABW,2012,Education,Male,Core,72.8297,72.8297,100.0000,,,
ABW,2013,Education,All,Core,84.0027,84.0027,100.0000,,,
ABW,2013,Housing,All,Core,92.8103,92.8103,100.0000,,,
ABW,2013,Education,Female,Core,83.7024,83.7024,100.0000,,,
ABW,2013,Education,Male,Core,72.8297,72.8297,100.0000,,,
