year,resp_count,country_code,metric_code,mean,sd,lobound_10,upbound_90
2020,4,ASM,climate,2.25,0.95742708,,
2020,4,ASM,culture,4.75,0.5,,
2020,4,ASM,indigland,3.5,2.3804762,,
2020,4,ASM,indigsov,3.25,2.0615528,,
2020,4,ASM,vchild,3.326786,1.1046212,1.9128709,4.7407012
2020,4,ASM,vdisab,6.9746113,1.5495409,4.991199,8.958024
2020,4,ASM,vmvpfaff,3.8914969,1.2792259,2.2540877,5.5289059
2020,4,ASM,vwomen,2.7186093,1.2178518,1.159759,4.2774596
2019,16,AUS,climate,4.875,1.0878112,,
2019,16,AUS,culture,2.6875,1.0781929,,
2019,16,AUS,indigland,2.625,0.80622578,,
2019,16,AUS,indigsov,1.875,0.7187953,,
2019,16,AUS,vchild,4.424005,0.50842851,3.7732165,5.0747933
2019,16,AUS,vdisab,3.9722319,0.43918228,3.4100785,4.5343852
2019,16,AUS,vmvpfaff,4.5453649,0.47750673,3.9341562,5.1565733
2019,16,AUS,vwomen,3.3742268,0.3604334,2.9128721,3.8355815
2020,30,AUS,climate,3.8666666,1.0080138,,
2020,30,AUS,culture,3.0666666,0.94443315,,
2020,30,AUS,indigland,2.5999999,0.77013212,,
2020,30,AUS,indigsov,2.2666667,0.86834496,,
2020,30,AUS,vchild,4.0770192,0.25504526,3.7505612,4.4034772
2020,30,AUS,vdisab,3.8915484,0.33428884,3.4636586,4.319438
2020,30,AUS,vmvpfaff,4.1887665,0.25671935,3.8601656,4.5173674
2020,30,AUS,vwomen,3.3303394,0.22603203,3.0410185,3.6196604
2021,13,AUS,climate,4.0769229,1.0377491,,
2021,13,AUS,culture,3.2307692,1.0127394,,
2021,13,AUS,indigland,3.0769231,0.86231649,,
2021,13,AUS,indigsov,2.4615386,0.66022527,,
2021,13,AUS,vchild,3.7094216,0.48524925,3.0883026,4.3305407
2021,13,AUS,vdisab,3.3434296,0.59593558,2.580632,4.1062269
2021,13,AUS,vmvpfaff,3.8192203,0.71622807,2.9024484,4.7359924
2021,13,AUS,vwomen,3.2450013,0.40559134,2.7258444,3.7641582
2019,7,COK,climate,3.7142856,0.95118976,,
2019,7,COK,culture,3.8571429,0.89973539,,
2019,7,COK,indigland,4.7142859,0.95118976,,
2019,7,COK,indigsov,4.4285712,0.78679579,,
2019,7,COK,vchild,2.568259,1.1190077,1.1359291,4.0005889
2019,7,COK,vdisab,4.3215613,1.252944,2.717793,5.9253297
2019,7,COK,vmvpfaff,2.9896741,0.72728121,2.0587542,3.920594
2019,7,COK,vwomen,2.6808541,0.59860307,1.9146421,3.4470661
2020,11,COK,climate,3.090909,1.1361818,,
2020,11,COK,culture,4.181818,1.1677485,,
2020,11,COK,indigland,4.4545455,1.1281521,,
2020,11,COK,indigsov,4.3636365,1.0269107,,
2020,11,COK,vchild,4.8741074,0.71488732,3.9590516,5.7891631
2020,11,COK,vdisab,5.8561482,1.1770022,4.3495855,7.362711
2020,11,COK,vmvpfaff,6.5444646,0.72539133,5.6159635,7.4729657
2020,11,COK,vwomen,4.0926576,0.56582993,3.3683953,4.8169198
2021,11,COK,climate,3.2727273,1.00905,,
2021,11,COK,culture,4.4545455,1.2933396,,
2021,11,COK,indigland,4.181818,1.0787197,,
2021,11,COK,indigsov,4.090909,1.2210279,,
2021,11,COK,vchild,3.4606996,0.71736127,2.5424771,4.378922
2021,11,COK,vdisab,5.7098126,0.79204202,4.6959987,6.7236266
2021,11,COK,vmvpfaff,5.4016356,1.0795492,4.0198126,6.7834587
2021,11,COK,vwomen,3.5021386,0.73144215,2.5658927,4.4383845
2019,20,FJI,climate,3.8,1.5761379,,
2019,20,FJI,culture,4.0999999,1.5861241,,
2019,20,FJI,indigland,3.4000001,1.4290224,,
