"year","resp_count","country_code","metric_code","mean","sd","lobound_10","upbound_90"
2019,16,"AUS","vchild",4.2634063,".47378311",3.6569638,4.8698487
2019,16,"AUS","vdisab",3.8657157,".40439901",3.3480849,4.3833466
2019,16,"AUS","vmvpfaff",4.42519,".45008767",3.8490777,5.0013022
2019,16,"AUS","vwomen",3.2889609,".32765663",2.8695605,3.7083614
2019,16,"AUS","climate",4.875,1.0878112,,
2019,16,"AUS","indigsov",1.875,".7187953",,
2019,16,"AUS","indigland",2.625,".80622578",,
2019,16,"AUS","culture",2.6875,1.0781929,,
2020,30,"AUS","vchild",3.9326658,".24322689",3.6213355,4.2439961
2020,30,"AUS","vdisab",3.7655213,".31968257",3.3563275,4.174715
2020,30,"AUS","vmvpfaff",4.0522022,".24152324",3.7430525,4.361352
2020,30,"AUS","vwomen",3.2487876,".20962924",2.9804623,3.517113
2020,30,"AUS","climate",3.8666666,1.0080138,,
2020,30,"AUS","indigsov",2.2666667,".86834496",,
2020,30,"AUS","indigland",2.5999999,".77013212",,
2020,30,"AUS","culture",3.0666666,".94443315",,
2019,20,"FJI","vchild",3.7208998,".31510568",3.3175645,4.1242352
2019,20,"FJI","vdisab",5.3122492,".59819317",4.5465617,6.0779366
2019,20,"FJI","vmvpfaff",4.1634407,".52467549",3.4918561,4.8350253
2019,20,"FJI","vwomen",2.5139399,".38531753",2.0207334,3.0071464
2019,20,"FJI","climate",3.8,1.5761379,,
2019,20,"FJI","indigsov",3.3499999,1.3484885,,
2019,20,"FJI","indigland",3.4000001,1.4290224,,
2019,20,"FJI","culture",4.0999999,1.5861241,,
2020,17,"FJI","vchild",2.715306,".57166421",1.9835758,3.4470363
2020,17,"FJI","vdisab",5.9587393,".87626714",4.8371172,7.0803614
2020,17,"FJI","vmvpfaff",4.3453379,".52593023",3.6721473,5.0185285
2020,17,"FJI","vwomen",2.3073704,".43307412",1.7530355,2.8617053
2020,17,"FJI","climate",4.352941,1.1694645,,
2020,17,"FJI","indigsov",3.6470587,1.1694645,,
2020,17,"FJI","indigland",3.3529413,1.2718675,,
2020,17,"FJI","culture",3.8235295,1.2366939,,
2019,30,"NZL","vchild",3.3155012,".31375545",2.9138942,3.7171082
2019,30,"NZL","vdisab",4.051146,".47036648",3.4490769,4.6532149
2019,30,"NZL","vmvpfaff",3.9557512,".36496493",3.488596,4.4229064
