source_code,proxy_source,Retrieval_date,retrieval_url,description
JME,WB_WDI,,,
UN_IGME,WB_WDI,,,
UNESCO,WB_WDI,,,
UNICEF,WB_WDI,,,
WHO_UNICEF_JMP_,WB_WDI,,,
OECD_ed,WB_Edstats,,,
UNPD_MPI,WB_WDI,,,
UNPD,WB_WDI,,,
WB_POVCAL,WB_WDI,,,
FAOSTAT,,,http://www.fao.org/faostat/ en/#data/FS,
LIS,,,https://www.lisdatacenter.org/ lis-ikf-webapp/app/search-ikf-figures,
OECD,,,https://stats.oecd.org/,
EuroStats,,,https://ec.europa.eu/eurostat/ databrowser/ view/ILC_LVHO07B__custom_477428/ default/table?lang=en,
OECD_unempl,,,https://data.oecd.org/unemp/ long-term-unemployment-rate.htm,
WB_Edstats,,,https://databank.worldbank.org/ source/education-statistics-%5E-all-indicators,
WB_WDI,,,https://databank.worldbank.org/ source/world-development-indicators,
WHO_UNICEF_JMP,,,https://washdata.org/data/household,
source_001,,,,Samoa MICS Survey 2019-2020 Preliminary Report - https://www.sbs.gov.ws/images/sbs-documents/DHS-MICS/2020/Factsheet_Samoa_DHS-MICS%202019-20%20v16.pdf
source_002,,,,WHO_Department of Health.American Samoa
source_003,,,,Western Pacific Country Health Information Profiles 2005; https://iris.wpro.who.int/handle/10665.1/13994
source_004,,,,WHO_LBJ tropical medical center; AMS hospital authority; dept of health.American Samoa
source_005,,,,WHO_Department of Health; American Samoa.
source_006,,,,NMDI_American Samoa Statistical Yearbook 2011
source_007,,,,Western Pacific Country Health Information Profiles 2006; https://iris.wpro.who.int/handle/10665.1/10902
source_008,,,,Western Pacific Country Health Information Profiles 2007; https://iris.wpro.who.int/handle/10665.1/10897
source_009,,,,Western Pacific Country Health Information Profiles 2010; https://iris.wpro.who.int/handle/10665.1/5511
source_010,,,,Maternal and Child Health Survyes Title V Block Grand: American Samoa 2018 Annual Report - https://mchb.tvisdata.hrsa.gov/uploadedfiles/StateSubmittedFiles/2020/AS/AS_TitleV_PrintVersion_FY20.pdf
source_011,,,,American Samoa Vital Statistics Report 2010-2012. Retrieved from https://pacificdata.org/data/dataset/oai-www-spc-int-6ee31455-78db-4bd9-878d-38489ad7c143
source_012,,,,American Samoa Vital Statistics Report 2010-2012; https://pacificdata.org/data/dataset/oai-www-spc-int-6ee31455-78db-4bd9-878d-38489ad7c143
source_013,,,,American Samoa Vital Statistics Report 2010-2012. https://sdd.spc.int/digital_library/american-samoa-vital-statistics-report-2010-2012
